DEPTH,NPHI,RHOB,SGR(=GR),COREFACIES,PHIH,PHIV,MARKERS,PHIE,SWE,VSH,POTA,LOGKH,LOGKV
3167.0,0.29,2.63,102.621,0.0,,,,,,0.923,0.289,,
3167.2,0.305,2.617,104.072,0.0,,,,0.0,1.0,0.98,0.306,,
3167.4,0.312,2.608,105.524,0.0,,,,0.0,1.0,0.991,0.303,,
3167.6,0.311,2.61,104.631,0.0,,,,0.0,1.0,0.947,0.298,,
3167.8,0.31,2.614,102.011,0.0,,,,0.0,1.0,0.944,0.292,,
3168.0,0.306,2.617,102.358,0.0,,,,0.0,1.0,0.933,0.287,,
3168.2,0.301,2.615,102.705,0.0,,,,0.0,1.0,0.927,0.289,,
3168.4,0.296,2.613,104.64,0.0,,,,0.0,1.0,0.914,0.29,,
3168.6,0.292,2.608,104.676,0.0,,,,0.01,1.0,0.902,0.292,,
3168.8,0.292,2.599,102.98,0.0,,,,0.24,1.0,0.898,0.291,,
3169.0,0.295,2.597,101.848,0.0,,,,0.27,1.0,0.91,0.29,,
3169.2,0.315,2.596,102.034,0.0,,,,0.0,1.0,0.958,0.294,,
3169.4,0.321,2.595,105.365,0.0,,,,0.0,1.0,0.977,0.302,,
3169.6,0.32,2.593,107.663,0.0,,,,0.0,1.0,0.968,0.309,,
3169.8,0.305,2.6,107.776,0.0,,,,0.12,1.0,0.936,0.302,,
3170.0,0.283,2.628,102.661,0.0,,,,0.0,1.0,0.873,0.295,,
3170.2,0.269,2.725,87.329,0.0,,,,0.0,1.0,0.814,0.272,,
3170.4,0.273,2.794,85.98,0.0,,,,0.0,1.0,0.833,0.285,,
3170.6,0.274,2.735,95.849,0.0,,,,0.0,1.0,0.839,0.297,,
3170.8,0.276,2.676,97.656,0.0,,,,0.0,1.0,0.845,0.304,,
3171.0,0.294,2.634,99.951,0.0,,,,0.0,1.0,0.91,0.311,,
3171.2,0.321,2.595,102.467,0.0,,,,1.32,0.918,0.916,0.316,,
3171.4,0.341,2.568,107.275,0.0,,,,2.52,0.851,0.916,0.32,,
3171.6,0.349,2.543,109.602,0.0,,,,2.52,0.851,0.916,0.318,,
3171.8,0.333,2.552,108.355,0.0,,,,2.51,0.851,0.916,0.316,,
3172.0,0.314,2.562,106.694,0.0,,,,2.36,0.871,0.897,0.313,,
3172.2,0.294,2.578,104.353,26.0,,,,1.44,0.935,0.882,0.31,,
3172.4,0.302,2.595,101.451,26.0,,,,0.31,1.0,0.928,0.307,,
3172.6,0.309,2.603,100.758,26.0,,,,0.03,1.0,0.943,0.304,,
3172.8,0.31,2.611,100.065,26.0,,,,0.0,1.0,0.947,0.305,,
3173.0,0.309,2.62,101.105,26.0,,,,0.0,1.0,0.941,0.305,,
3173.2,0.309,2.633,102.615,26.0,,,,0.0,1.0,0.942,0.306,,
3173.4,0.309,2.638,103.232,26.0,,,,0.0,1.0,0.942,0.306,,
3173.6,0.307,2.612,103.559,26.0,,,,0.0,1.0,0.939,0.306,,
3173.8,0.305,2.599,105.18,26.0,,,,0.15,1.0,0.938,0.305,,
3174.0,0.303,2.599,105.143,26.0,,,,0.17,1.0,0.933,0.298,,
3174.2,0.302,2.598,105.105,26.0,,,,0.19,1.0,0.928,0.292,,
3174.4,0.298,2.599,103.77,26.0,,,,0.2,1.0,0.918,0.285,,
3174.6,0.303,2.6,103.076,26.0,,,,0.14,1.0,0.931,0.279,,
3174.8,0.308,2.603,106.32,26.0,,,,0.05,1.0,0.939,0.274,,
3175.0,0.312,2.591,107.076,26.0,,,,0.56,0.997,0.937,0.269,,
3175.2,0.316,2.579,107.216,26.0,,,,1.25,0.954,0.933,0.269,,
3175.4,0.325,2.567,107.356,26.0,,,,1.59,0.927,0.947,0.269,,
3175.6,0.325,2.567,107.496,26.0,,,,1.6,0.919,0.947,0.27,,
3175.8,0.325,2.577,107.528,26.0,,,,0.0,1.0,0.957,0.271,,
3176.0,0.313,2.581,105.752,26.0,,,,1.2,0.928,0.922,0.272,,
3176.2,0.302,2.588,102.486,26.0,,,,1.05,0.934,0.902,0.275,,
3176.4,0.308,2.592,100.009,26.0,,,,1.4,0.914,0.884,0.278,,
3176.6,0.322,2.583,102.048,26.0,,,,2.71,0.842,0.866,0.281,,
3176.8,0.339,2.565,104.44,26.0,,,,3.92,0.783,0.869,0.279,,
3177.0,0.339,2.544,106.832,26.0,,,,3.82,0.788,0.873,0.276,,
3177.2,0.34,2.543,106.246,26.0,,,,3.21,0.816,0.893,0.273,,
3177.4,0.338,2.552,105.855,26.0,,,,2.58,0.848,0.914,0.266,,
3177.6,0.337,2.562,105.464,26.0,,,,0.0,1.0,0.969,0.259,,
3177.8,0.337,2.557,105.939,26.0,,,,0.0,1.0,0.972,0.252,,
3178.0,0.337,2.545,105.163,26.0,,,,0.0,1.0,0.954,0.247,,
3178.2,0.334,2.546,104.386,0.0,,,,1.59,1.0,0.947,0.242,,
3178.4,0.331,2.568,100.56,0.0,,,,0.0,1.0,0.969,0.232,,
3178.6,0.298,2.561,88.923,0.0,,,,2.49,0.999,0.863,0.222,,
3178.8,0.228,2.525,69.461,0.0,,,,5.29,0.984,0.586,0.159,,
3179.0,0.145,2.476,53.264,0.0,10.5,,1.0,8.95,1.0,0.255,0.102,0.0,
3179.2,0.139,2.44,36.291,0.0,,,,11.22,0.864,0.182,0.087,,
3179.4,0.162,2.388,27.612,0.0,,,,14.44,0.6,0.152,0.071,,
3179.5,,,,,25.1,18.1,,,,,,2.876,1.615
3179.6,0.19,2.329,27.709,0.0,,,,17.64,0.399,0.159,0.075,,
3179.8,0.21,2.271,29.217,0.0,,,,21.08,0.268,0.117,0.079,,
3180.0,0.218,2.24,30.164,0.0,24.5,,,22.94,0.203,0.09,0.083,2.732,
3180.2,0.22,2.225,31.111,0.0,,,,23.81,0.165,0.073,0.084,,
3180.4,0.222,2.215,33.378,0.0,,,,24.4,0.149,0.064,0.086,,
3180.5,,,,,23.1,,,,,,,2.535,
3180.6,0.221,2.221,32.682,0.0,,,,24.06,0.145,0.071,0.087,,
3180.8,0.221,2.227,31.986,0.0,,,,23.72,0.14,0.078,0.087,,
3181.0,0.22,2.234,31.992,0.0,24.8,,,23.28,0.136,0.088,0.091,2.722,
3181.2,0.218,2.237,31.998,0.0,,,,23.08,0.135,0.083,0.096,,
3181.4,0.215,2.241,31.661,0.0,,,,22.88,0.134,0.078,0.094,,
3181.5,,,,,24.8,23.3,,,,,,2.744,2.554
3181.6,0.209,2.246,31.324,0.0,,,,22.65,0.137,0.073,0.093,,
3181.8,0.204,2.25,32.275,0.0,,,,22.41,0.139,0.065,0.092,,
3182.0,0.202,2.255,33.226,0.0,20.6,,,22.14,0.137,0.067,0.096,2.352,
3182.2,0.197,2.259,33.512,0.0,,,,21.94,0.136,0.062,0.101,,
3182.4,0.192,2.262,34.049,0.0,,,,21.74,0.131,0.054,0.106,,
3182.5,,,,,22.4,,,,,,,2.659,
3182.6,0.17,2.277,30.559,0.0,,,,21.04,0.132,0.008,0.104,,
3182.8,0.136,2.291,26.92,0.0,,,,19.24,0.137,0.0,0.103,,
3183.0,0.127,2.314,27.599,0.0,16.6,,,18.08,0.133,0.0,0.101,3.117,
3183.2,0.136,2.332,28.278,0.0,,,,17.87,0.128,0.0,0.108,,
3183.4,0.147,2.327,30.482,0.0,,,,18.15,0.123,0.018,0.114,,
3183.5,,,,,16.2,15.8,,,,,,2.819,1.272
3183.6,0.157,2.307,31.368,0.0,,,,19.3,0.111,0.016,0.12,,
3183.8,0.17,2.286,33.297,0.0,,,,20.49,0.1,0.023,0.14,,
3184.0,0.179,2.264,35.547,0.0,25.5,,,21.7,0.092,0.02,0.161,2.843,
3184.2,0.185,2.24,38.797,0.0,,,,23.14,0.085,0.002,0.184,,
3184.4,0.192,2.23,41.555,0.0,,,,23.73,0.08,0.003,0.188,,
3184.5,,,,,22.8,,,,,,,2.883,
3184.6,0.195,2.229,44.313,0.0,,,,23.78,0.075,0.009,0.192,,
3184.8,0.198,2.228,44.143,0.0,,,,23.83,0.07,0.015,0.196,,
3185.0,0.201,2.232,43.973,0.0,23.5,,,23.56,0.065,0.028,0.197,2.872,
3185.2,0.204,2.236,44.18,0.0,,,,23.28,0.061,0.043,0.198,,
3185.4,0.207,2.238,44.387,0.0,,,,23.15,0.06,0.054,0.199,,
3185.5,,,,,21.2,21.0,,,,,,2.6,2.201
3185.6,0.207,2.24,44.594,0.0,,,,23.03,0.062,0.058,0.2,,
3185.8,0.208,2.236,45.881,0.0,,,,23.23,0.064,0.053,0.196,,
3186.0,0.207,2.233,47.331,0.0,23.4,,,23.44,0.063,0.046,0.192,2.839,
3186.2,0.206,2.237,45.686,0.0,,,,23.17,0.067,0.05,0.188,,
3186.4,0.206,2.257,45.072,0.0,,,,21.97,0.074,0.081,0.183,,
3186.5,,,,,18.1,,,,,,,2.173,
3186.6,0.203,2.277,44.457,0.0,,,,20.78,0.08,0.104,0.177,,
3186.8,0.2,2.291,44.527,0.0,,,,19.9,0.086,0.121,0.17,,
3187.0,0.199,2.286,44.597,0.0,19.9,,,20.23,0.09,0.112,0.164,2.318,
3187.2,0.199,2.285,44.667,0.0,,,,20.3,0.095,0.109,0.163,,
3187.4,0.199,2.284,43.908,0.0,,,,20.38,0.1,0.107,0.163,,
3187.5,,,,,20.6,21.0,,,,,,2.423,2.26
3187.6,0.198,2.297,41.569,0.0,,,,19.54,0.103,0.126,0.157,,
3187.8,0.183,2.311,36.423,0.0,,,,18.8,0.105,0.108,0.151,,
3188.0,0.143,2.325,28.522,0.0,19.7,,,18.29,0.114,0.005,0.122,2.766,
3188.2,0.119,2.339,22.296,0.0,,,,16.85,0.111,0.0,0.09,,
3188.4,0.109,2.35,20.214,0.0,,,,15.96,0.097,0.0,0.074,,
3188.5,,,,,15.2,,,,,,,3.733,
3188.6,0.099,2.362,19.909,0.0,,,,15.09,0.093,0.0,0.074,,
3188.8,0.089,2.365,19.603,0.0,,,,14.52,0.082,0.0,0.074,,
3189.0,0.085,2.365,19.298,0.0,14.9,,,14.32,0.062,0.0,0.074,3.524,
3189.2,0.082,2.366,21.783,0.0,,,,14.12,0.057,0.0,0.077,,
3189.4,0.084,2.366,24.269,0.0,,,,14.25,0.054,0.0,0.08,,
3189.5,,,,,14.4,14.1,,,,,,3.334,1.19
3189.6,0.102,2.356,26.755,0.0,,,,15.44,0.054,0.0,0.099,,
3189.8,0.119,2.342,30.958,0.0,,,,16.76,0.063,0.0,0.119,,
